Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Complete remission of multiple liver metastases with only partial response of the primary rectal cancer after neoadjuvant chemotherapy.","/pubmed/32107670","Miura S, Ito K, Takemura N, Mihara F, Kiyomatsu T, Kokudo N.","Surg Case Rep. 2020 Feb 27;6(1):46. doi: 10.1186/s40792-020-00807-y.","Surg Case Rep.  2020","PubMed","citation","PMID:32107670 | PMCID:PMC7046888","pubmed","32107670","create date:2020/02/29 | first author:Miura S",
"Laparoscopic Versus Open Thermal Ablation of Colorectal Liver Metastases: A Propensity Score-Based Analysis of Local Control of the Ablated Tumors.","/pubmed/32060758","Giglio MC, Logghe B, Garofalo E, Tomassini F, Vanlander A, Berardi G, Montalti R, Troisi RI.","Ann Surg Oncol. 2020 Feb 14. doi: 10.1245/s10434-020-08243-w. [Epub ahead of print]","Ann Surg Oncol.  2020","PubMed","citation","PMID:32060758","pubmed","32060758","create date:2020/02/16 | first author:Giglio MC",
"Recursive partitioning model-based analysis for survival of colorectal cancer patients with lung and liver oligometastases treated with stereotactic body radiation therapy.","/pubmed/32056005","Franzese C, Comito T, Franceschini D, Loi M, Clerici E, Navarria P, De Rose F, Di Brina L, Mancosu P, Reggiori G, Tomatis S, Scorsetti M.","J Cancer Res Clin Oncol. 2020 May;146(5):1227-1234. doi: 10.1007/s00432-020-03148-3. Epub 2020 Feb 13.","J Cancer Res Clin Oncol.  2020","PubMed","citation","PMID:32056005","pubmed","32056005","create date:2020/02/15 | first author:Franzese C",
"[Meta-analysis on the association between primary tumor location and prognosis after resection of colorectal liver metastases].","/pubmed/32052109","Schrempf M, Anthuber M.","Chirurg. 2020 Feb 12. doi: 10.1007/s00104-020-01140-8. [Epub ahead of print] German.  No abstract available. ","Chirurg.  2020","PubMed","citation","PMID:32052109","pubmed","32052109","create date:2020/02/14 | first author:Schrempf M",
"Characteristics of Five-year Survivors After Liver Resection for Colorectal Liver Metastases in Modern Chemotherapy.","/pubmed/32014961","Nakamoto T, Hokuto D, Nomi T, Yoshikawa T, Kamitani N, Matsuo Y, Obara S, Kuge H, Koyama F, Sho M.","Anticancer Res. 2020 Feb;40(2):1107-1116. doi: 10.21873/anticanres.14050.","Anticancer Res.  2020","PubMed","citation","PMID:32014961","pubmed","32014961","create date:2020/02/06 | first author:Nakamoto T",
"Influence of primary tumour and patient factors on survival in patients undergoing curative resection and treatment for liver metastases from colorectal cancer.","/pubmed/32011815","Scherman P, Syk I, Holmberg E, Naredi P, Rizell M.","BJS Open. 2020 Feb;4(1):118-132. doi: 10.1002/bjs5.50237. Epub 2019 Dec 2.","BJS Open.  2020","PubMed","citation","PMID:32011815 | PMCID:PMC6996641","pubmed","32011815","create date:2020/02/06 | first author:Scherman P",
"Left hepatic trisectionectomy for hepatobiliary malignancies: Its' role and outcomes. A retrospective cohort study.","/pubmed/31993198","Kostalas M, Frampton AE, Low N, Lahiri R, Ban EJ, Kumar R, Riga AT, Worthington TR, Karanjia ND.","Ann Med Surg (Lond). 2019 Nov 29;51:11-16. doi: 10.1016/j.amsu.2019.11.016. eCollection 2020 Mar.","Ann Med Surg (Lond).  2020","PubMed","citation","PMID:31993198 | PMCID:PMC6976864","pubmed","31993198","create date:2020/01/30 | first author:Kostalas M",
"Tumor Sidedness Is Associated with Survival in Patients with Synchronous Colorectal Peritoneal Carcinomatosis.","/pubmed/31962336","Matsuda K, Tamura K, Iwamoto H, Mizumoto Y, Mitani Y, Nakamura Y, Murakami D, Sakanaka T, Yamaue H.","Oncology. 2020;98(4):230-236. doi: 10.1159/000505128. Epub 2020 Jan 21.","Oncology.  2020","PubMed","citation","PMID:31962336","pubmed","31962336","create date:2020/01/22 | first author:Matsuda K",
"Prognosis and clinical characteristics of colorectal cancer patients with KRAS gene mutation: a 5-year follow-up study.","/pubmed/31933846","Yang D, Lai X, Xu F, Li Y, Jiang W, Ma D.","Int J Clin Exp Pathol. 2019 Feb 1;12(2):409-418. eCollection 2019.","Int J Clin Exp Pathol.  2019","PubMed","citation","PMID:31933846 | PMCID:PMC6945095","pubmed","31933846","create date:2020/01/15 | first author:Yang D",
"Impact of Single-organ Metastasis to the Liver or Lung and Genetic Mutation Status on Prognosis in Stage IV Colorectal Cancer.","/pubmed/31899147","Cavallaro P, Bordeianou L, Stafford C, Clark J, Berger D, Cusack J, Kunitake H, Francone T, Ricciardi R.","Clin Colorectal Cancer. 2020 Mar;19(1):e8-e17. doi: 10.1016/j.clcc.2019.12.001. Epub 2019 Dec 10.","Clin Colorectal Cancer.  2020","PubMed","citation","PMID:31899147","pubmed","31899147","create date:2020/01/04 | first author:Cavallaro P",
"[Prognostic value and initial exploratory research on TNM staging method of tumor deposits in stage III colon cancer].","/pubmed/31874531","Qin Q, Yang L, Zhou AP, Wang JW, Zhong DS.","Zhonghua Wei Chang Wai Ke Za Zhi. 2019 Dec 25;22(12):1152-1158. doi: 10.3760/cma.j.issn.1671-0274.2019.12.010. Chinese. ","Zhonghua Wei Chang Wai Ke Za Zhi.  2019","PubMed","citation","PMID:31874531","pubmed","31874531","create date:2019/12/26 | first author:Qin Q",
"Sex-related differences in primary metastatic site in rectal cancer; associated with hemodynamic factors?","/pubmed/31872084","Meltzer S, Bakke KM, Rød KL, Negård A, Flatmark K, Solbakken AM, Kristensen AT, Fuglestad AJ, Kersten C, Dueland S, Seierstad T, Hole KH, Lyckander LG, Larsen FO, Schou JV, Patrick Brown D, Abrahamsson H, Redalen KR, Ree AH.","Clin Transl Radiat Oncol. 2019 Dec 2;21:5-10. doi: 10.1016/j.ctro.2019.11.006. eCollection 2020 Mar.","Clin Transl Radiat Oncol.  2020","PubMed","citation","PMID:31872084 | PMCID:PMC6909215","pubmed","31872084","create date:2019/12/25 | first author:Meltzer S",
"Simultaneous versus staged resection for synchronous colorectal liver metastases: A population-based cohort study.","/pubmed/31843676","Bogach J, Wang J, Griffiths C, Parpia S, Saskin R, Hallet J, Ruo L, Simunovic M, Serrano PE.","Int J Surg. 2020 Feb;74:68-75. doi: 10.1016/j.ijsu.2019.12.009. Epub 2019 Dec 14.","Int J Surg.  2020","PubMed","citation","PMID:31843676","pubmed","31843676","create date:2019/12/18 | first author:Bogach J",
"A clinical-radiomic model for improved prognostication of surgical candidates with colorectal liver metastases.","/pubmed/31797378","Shur J, Orton M, Connor A, Fischer S, Moulton CA, Gallinger S, Koh DM, Jhaveri KS.","J Surg Oncol. 2019 Dec 3. doi: 10.1002/jso.25783. [Epub ahead of print]","J Surg Oncol.  2019","PubMed","citation","PMID:31797378","pubmed","31797378","create date:2019/12/05 | first author:Shur J",
"Current role of trisectionectomy for hepatopancreatobiliary malignancies.","/pubmed/31788649","Kron P, Kimura N, Farid S, Lodge JPA.","Ann Gastroenterol Surg. 2019 Oct 22;3(6):606-619. doi: 10.1002/ags3.12292. eCollection 2019 Nov. Review.","Ann Gastroenterol Surg.  2019","PubMed","citation","PMID:31788649 | PMCID:PMC6875946","pubmed","31788649","create date:2019/12/04 | first author:Kron P",
"Utilization of a Transanal TME Platform to Enable a Distal TME Dissection En Bloc with Presacral Fascia and Pelvic Sidewall with Intraoperative Radiotherapy Delivery in a Locally Advanced Rectal Cancer: Advanced Application of taTME.","/pubmed/31721637","Waters PS, Peacock O, Larach T, Lee JD, McCormick JJ, Chander S, Heriot AG, Warrier SK.","J Laparoendosc Adv Surg Tech A. 2020 Jan;30(1):53-57. doi: 10.1089/lap.2019.0576. Epub 2019 Nov 13.","J Laparoendosc Adv Surg Tech A.  2020","PubMed","citation","PMID:31721637","pubmed","31721637","create date:2019/11/14 | first author:Waters PS",
"Coaltered Ras/B-raf and TP53 Is Associated with Extremes of Survivorship and Distinct Patterns of Metastasis in Patients with Metastatic Colorectal Cancer.","/pubmed/31719050","Datta J, Smith JJ, Chatila WK, McAuliffe JC, Kandoth C, Vakiani E, Frankel TL, Ganesh K, Wasserman I, Lipsyc-Sharf M, Guillem J, Nash GM, Paty PB, Weiser MR, Saltz LB, Berger MF, Jarnagin WR, Balachandran V, Kingham TP, Kemeny NE, Cercek A, Garcia-Aguilar J, et al.","Clin Cancer Res. 2020 Mar 1;26(5):1077-1085. doi: 10.1158/1078-0432.CCR-19-2390. Epub 2019 Nov 12.","Clin Cancer Res.  2020","PubMed","citation","PMID:31719050 | PMCID:PMC7056517","pubmed","31719050","create date:2019/11/14 | first author:Datta J",
"Portal vein ligation with alcohol injection - our first experiences.","/pubmed/31698915","Menclová K, Malík J, Pudil J, Bělina F, Ryska M.","Rozhl Chir. 2019 Summer;98(9):379-384. doi: 10.33699/PIS.2019.98.9.379-384.","Rozhl Chir.  2019","PubMed","citation","PMID:31698915","pubmed","31698915","create date:2019/11/09 | first author:Menclová K",
"Metastatic patterns and survival outcomes in patients with stage IV colon cancer: A population-based analysis.","/pubmed/31693304","Wang J, Li S, Liu Y, Zhang C, Li H, Lai B.","Cancer Med. 2020 Jan;9(1):361-373. doi: 10.1002/cam4.2673. Epub 2019 Nov 6.","Cancer Med.  2020","PubMed","citation","PMID:31693304 | PMCID:PMC6943094","pubmed","31693304","create date:2019/11/07 | first author:Wang J",
"Use of perioperative chemotherapy in colorectal cancer metastatic to the liver.","/pubmed/31687149","Symonds LK, Cohen SA.","Gastroenterol Rep (Oxf). 2019 Aug 21;7(5):301-311. doi: 10.1093/gastro/goz035. eCollection 2019 Oct. Review.","Gastroenterol Rep (Oxf).  2019","PubMed","citation","PMID:31687149 | PMCID:PMC6821343","pubmed","31687149","create date:2019/11/07 | first author:Symonds LK",
"Robotic ALPPS.","/pubmed/31686346","Machado MAC, Surjan RC, Makdissi F.","Ann Surg Oncol. 2020 Apr;27(4):1174-1179. doi: 10.1245/s10434-019-08027-x. Epub 2019 Nov 4.","Ann Surg Oncol.  2020","PubMed","citation","PMID:31686346","pubmed","31686346","create date:2019/11/07 | first author:Machado MAC",
"Primary tumor location and the prognosis of patients after local treatment of colorectal liver metastases: a systematic review and meta-analysis.","/pubmed/31668753","Buisman FE, Galjart B, Buettner S, Groot Koerkamp B, Grünhagen DJ, Verhoef C.","HPB (Oxford). 2020 Mar;22(3):351-357. doi: 10.1016/j.hpb.2019.10.003. Epub 2019 Oct 24. Review.","HPB (Oxford).  2020","PubMed","citation","PMID:31668753","pubmed","31668753","create date:2019/11/02 | first author:Buisman FE",
"Prognostic Value of CDX2 and Villin Expression in Advanced Stage Colorectal Carcinoma.","/pubmed/31659962","Altintas S, Bayrak M, Altintas Y.","J Coll Physicians Surg Pak. 2019 Nov;29(11):1057-1061. doi: 10.29271/jcpsp.2019.11.1057.","J Coll Physicians Surg Pak.  2019","PubMed","citation","PMID:31659962","pubmed","31659962","create date:2019/10/30 | first author:Altintas S",
"Assessment of survival and prognostic factors in metastatic colorectal cancer patients treated with first-line bevacizumab-based therapy.","/pubmed/31646797","Demircan NC, Dane F, Ozturk MA, Babacan NA, Besiroglu M, Kaya S, Ercelep O, Tanrikulu E, Halil S, Koca S, Alan O, Hasanov R, Yumuk PF.","J BUON. 2019 Jul-Aug;24(4):1494-1500.","J BUON.  2019","PubMed","citation","PMID:31646797","pubmed","31646797","create date:2019/10/28 | first author:Demircan NC",
"RAS mutation: site of disease and recurrence pattern in colorectal cancer.","/pubmed/31597436","Bonnot PE, Passot G.","Chin Clin Oncol. 2019 Oct;8(5):55. doi: 10.21037/cco.2019.08.11. Review.","Chin Clin Oncol.  2019","PubMed","citation","PMID:31597436","pubmed","31597436","create date:2019/10/11 | first author:Bonnot PE",
"Perioperative and long-term outcomes of laparoscopic liver resections for non-colorectal liver metastases.","/pubmed/31586246","Triantafyllidis I, Gayet B, Tsiakyroudi S, Tabchouri N, Beaussier M, Bennamoun M, Sarran A, Lefevre M, Louvet C, Fuks D.","Surg Endosc. 2019 Oct 4. doi: 10.1007/s00464-019-07148-4. [Epub ahead of print]","Surg Endosc.  2019","PubMed","citation","PMID:31586246","pubmed","31586246","create date:2019/10/06 | first author:Triantafyllidis I",
"Naples Prognostic Score Is a Useful Prognostic Marker in Patients With Metastatic Colorectal Cancer.","/pubmed/31567920","Miyamoto Y, Hiyoshi Y, Daitoku N, Okadome K, Sakamoto Y, Yamashita K, Kuroda D, Sawayama H, Iwatsuki M, Baba Y, Yoshida N, Baba H.","Dis Colon Rectum. 2019 Dec;62(12):1485-1493. doi: 10.1097/DCR.0000000000001484.","Dis Colon Rectum.  2019","PubMed","citation","PMID:31567920","pubmed","31567920","create date:2019/10/01 | first author:Miyamoto Y",
"The Prognostic Significance of Isolated Tumor Cells Detected Within Lateral Lymph Nodes in Rectal Cancer Patients After Laparoscopic Lateral Lymph Node Dissection.","/pubmed/31539301","Yang X, Hu T, Gu C, Yang S, Jiang D, Deng X, Wang Z, Zhou Z.","J Laparoendosc Adv Surg Tech A. 2019 Nov;29(11):1462-1468. doi: 10.1089/lap.2019.0489. Epub 2019 Sep 20.","J Laparoendosc Adv Surg Tech A.  2019","PubMed","citation","PMID:31539301","pubmed","31539301","create date:2019/09/21 | first author:Yang X",
"The association of KRAS mutation with primary tumor location and survival in patients undergoing resection of colorectal cancers and synchronous liver metastases.","/pubmed/31500429","Allievi N, Goffredo P, Utria AF, Pisano M, Poiasina E, Lucianetti A, Zhou P, Hassan I.","Chin Clin Oncol. 2019 Oct;8(5):46. doi: 10.21037/cco.2019.08.10. Epub 2019 Sep 2.","Chin Clin Oncol.  2019","PubMed","citation","PMID:31500429","pubmed","31500429","create date:2019/09/11 | first author:Allievi N",
"Combination chemotherapy with TAS-102 plus bevacizumab in salvage-line treatment of metastatic colorectal cancer: A single-center, retrospective study examining the prognostic value of the modified Glasgow Prognostic Score in salvage-line therapy of metastatic colorectal cancer.","/pubmed/31475067","Matsuhashi N, Takahashi T, Fujii H, Suetsugu T, Fukada M, Iwata Y, Tokumaru Y, Imai T, Mori R, Tanahashi T, Matsui S, Imai H, Tanaka Y, Yamaguchi K, Futamura M, Yoshida K.","Mol Clin Oncol. 2019 Oct;11(4):390-396. doi: 10.3892/mco.2019.1899. Epub 2019 Jul 18.","Mol Clin Oncol.  2019","PubMed","citation","PMID:31475067 | PMCID:PMC6713946","pubmed","31475067","create date:2019/09/03 | first author:Matsuhashi N",
"Timing of Perioperative Chemotherapy Does Not Influence Long-Term Outcome of Patients Undergoing Combined Laparoscopic Colorectal and Liver Resection in Selected Upfront Resectable Synchronous Liver Metastases.","/pubmed/31451846","Ratti F, Fuks D, Cipriani F, Gayet B, Aldrighetti L.","World J Surg. 2019 Dec;43(12):3110-3119. doi: 10.1007/s00268-019-05142-4.","World J Surg.  2019","PubMed","citation","PMID:31451846","pubmed","31451846","create date:2019/08/28 | first author:Ratti F",
"Prognostic impact of K-RAS mutational status and primary tumor location in patients undergoing resection for colorectal cancer liver metastases: an update.","/pubmed/31426677","O Connor JM, Sanchez Loria F, Ardiles V, Grondona J, Sanchez P, Andriani O, Fauda M, Brancato F, Huertas E, Alvarez F, de Santibañes E.","Future Oncol. 2019 Sep;15(27):3149-3157. doi: 10.2217/fon-2019-0196. Epub 2019 Aug 20.","Future Oncol.  2019","PubMed","citation","PMID:31426677","pubmed","31426677","create date:2019/08/21 | first author:O Connor JM",
"Improved survival after resection of colorectal liver metastases in patients with unresectable lung metastases.","/pubmed/31399325","Albertsmeier M, Riedl K, Stephan AJ, Drefs M, Schiergens TS, Engel J, Angele MK, Werner J, Guba M.","HPB (Oxford). 2020 Mar;22(3):368-375. doi: 10.1016/j.hpb.2019.07.004. Epub 2019 Aug 6.","HPB (Oxford).  2020","PubMed","citation","PMID:31399325","pubmed","31399325","create date:2019/08/11 | first author:Albertsmeier M",
"Auxiliary living donor liver transplantation combined with two-stage hepatectomy for unresectable colorectal liver metastases.","/pubmed/31397729","Nadalin S, Königsrainer A, Capobianco I, Settmacher U, Rauchfuss F.","Curr Opin Organ Transplant. 2019 Oct;24(5):651-658. doi: 10.1097/MOT.0000000000000695. Review.","Curr Opin Organ Transplant.  2019","PubMed","citation","PMID:31397729","pubmed","31397729","create date:2019/08/10 | first author:Nadalin S",
"Laparoscopic versus open two-stage hepatectomy for bilobar colorectal liver metastases: A bi-institutional, propensity score-matched study.","/pubmed/31395397","Okumura S, Goumard C, Gayet B, Fuks D, Scatton O.","Surgery. 2019 Dec;166(6):959-966. doi: 10.1016/j.surg.2019.06.019. Epub 2019 Aug 5.","Surgery.  2019","PubMed","citation","PMID:31395397","pubmed","31395397","create date:2019/08/10 | first author:Okumura S",
"Meta-analysis of the association between primary tumour location and prognosis after surgical resection of colorectal liver metastases.","/pubmed/31386192","Wang XY, Zhang R, Wang Z, Geng Y, Lin J, Ma K, Zuo JL, Lu L, Zhang JB, Zhu WW, Chen JH.","Br J Surg. 2019 Dec;106(13):1747-1760. doi: 10.1002/bjs.11289. Epub 2019 Aug 6.","Br J Surg.  2019","PubMed","citation","PMID:31386192","pubmed","31386192","create date:2019/08/07 | first author:Wang XY",
"The histopathologic report of surgically resected colorectal liver metastases: What is clinically relevant?","/pubmed/31371210","Barresi V, Fioravanzo A, Pecori S, Tomezzoli A, Reggiani Bonetti L.","Pathol Res Pract. 2019 Sep;215(9):152547. doi: 10.1016/j.prp.2019.152547. Epub 2019 Jul 25. Review.","Pathol Res Pract.  2019","PubMed","citation","PMID:31371210","pubmed","31371210","create date:2019/08/03 | first author:Barresi V",
"Diagnostic performance of gadoxetic acid-enhanced liver MRI versus multidetector CT in the assessment of colorectal liver metastases compared to hepatic resection.","/pubmed/31340755","Granata V, Fusco R, de Lutio di Castelguidone E, Avallone A, Palaia R, Delrio P, Tatangelo F, Botti G, Grassi R, Izzo F, Petrillo A.","BMC Gastroenterol. 2019 Jul 24;19(1):129. doi: 10.1186/s12876-019-1036-7.","BMC Gastroenterol.  2019","PubMed","citation","PMID:31340755 | PMCID:PMC6651923","pubmed","31340755","create date:2019/07/26 | first author:Granata V",
"Resection of the primary tumor improves survival in patients with gastro-entero-pancreatic neuroendocrine neoplasms with liver metastases: A SEER-based analysis.","/pubmed/31328428","Zheng M, Li Y, Li T, Zhang L, Zhou L.","Cancer Med. 2019 Sep;8(11):5128-5136. doi: 10.1002/cam4.2431. Epub 2019 Jul 22.","Cancer Med.  2019","PubMed","citation","PMID:31328428 | PMCID:PMC6718577","pubmed","31328428","create date:2019/07/23 | first author:Zheng M",
"Lung Metastasis Predicts Better Prognosis in Metastatic Colorectal Cancer With Mutated KRAS.","/pubmed/31324478","Margalit O, Shacham-Shmueli E, Lawrence YR, Yang YX, Reiss KA, Golan T, Mamtani R, Halpern N, Aderka D, Giantonio B, Boursi B.","Clin Colorectal Cancer. 2019 Sep;18(3):e300-e307. doi: 10.1016/j.clcc.2019.06.001. Epub 2019 Jun 26.","Clin Colorectal Cancer.  2019","PubMed","citation","PMID:31324478","pubmed","31324478","create date:2019/07/22 | first author:Margalit O",
"Malignant phyllodes tumor in Lynch syndrome: a case report.","/pubmed/31307558","Kazmi S, Wagner S, Heintzelman R, Corbman M.","J Med Case Rep. 2019 Jul 16;13(1):216. doi: 10.1186/s13256-019-2138-0.","J Med Case Rep.  2019","PubMed","citation","PMID:31307558 | PMCID:PMC6631613","pubmed","31307558","create date:2019/07/17 | first author:Kazmi S",
"The prognostic effect of adjuvant chemotherapy in the colon cancer patients with solitary lymph node metastasis.","/pubmed/31292725","Yeom SS, Lee SY, Kim CH, Kim HR, Kim YJ.","Int J Colorectal Dis. 2019 Aug;34(8):1483-1490. doi: 10.1007/s00384-019-03346-7. Epub 2019 Jul 10.","Int J Colorectal Dis.  2019","PubMed","citation","PMID:31292725","pubmed","31292725","create date:2019/07/12 | first author:Yeom SS",
"Prognostic and predictive markers in liver limited stage IV colorectal cancer.","/pubmed/31279594","Rehman AH, Jones RP, Poston G.","Eur J Surg Oncol. 2019 Dec;45(12):2251-2256. doi: 10.1016/j.ejso.2019.06.038. Epub 2019 Jun 27. Review.","Eur J Surg Oncol.  2019","PubMed","citation","PMID:31279594","pubmed","31279594","create date:2019/07/08 | first author:Rehman AH",
"Marking Disappearing Colorectal Liver Metastases After Complete Response to Neoadjuvant Chemotherapy via CT - A Pilot Study.","/pubmed/31262912","Vujic J, Schöllnast H, Marsoner K, Wienerroither V, Bacher H, Mischinger HJ, Kornprat P.","Anticancer Res. 2019 Jul;39(7):3847-3854. doi: 10.21873/anticanres.13534.","Anticancer Res.  2019","PubMed","citation","PMID:31262912","pubmed","31262912","create date:2019/07/03 | first author:Vujic J",
"Impact of Tumor Site on Lymph Node Status and Survival in Colon Cancer.","/pubmed/31258741","Xie Y, Huang Y, Ruan Q, Wang H, Liang X, Hu Z, Li X.","J Cancer. 2019 May 26;10(11):2376-2383. doi: 10.7150/jca.32038. eCollection 2019.","J Cancer.  2019","PubMed","citation","PMID:31258741 | PMCID:PMC6584349","pubmed","31258741","create date:2019/07/02 | first author:Xie Y",
"Prospective Biomarker Study in Advanced RAS Wild-Type Colorectal Cancer: POSIBA Trial (GEMCAD 10-02).","/pubmed/31235483","García-Albéniz X, Alonso V, Escudero P, Méndez M, Gallego J, Rodríguez JR, Salud A, Fernández-Plana J, Manzano H, Zanui M, Falcó E, Feliu J, Gil M, Fernández-Martos C, Bohn U, Alonso C, Calderero V, Rojo F, Cuatrecasas M, Maurel J.","Oncologist. 2019 Nov;24(11):e1115-e1122. doi: 10.1634/theoncologist.2018-0728. Epub 2019 Jun 24.","Oncologist.  2019","PubMed","citation","PMID:31235483 | PMCID:PMC6853109","pubmed","31235483","create date:2019/06/27 | first author:García-Albéniz X",
"Tumor-proximal liquid biopsy to improve diagnostic and prognostic performances of circulating tumor cells.","/pubmed/31216108","Buscail E, Chiche L, Laurent C, Vendrely V, Denost Q, Denis J, Thumerel M, Lacorte JM, Bedel A, Moreau-Gaudry F, Dabernat S, Alix-Panabières C.","Mol Oncol. 2019 Sep;13(9):1811-1826. doi: 10.1002/1878-0261.12534. Epub 2019 Jul 25. Review.","Mol Oncol.  2019","PubMed","citation","PMID:31216108 | PMCID:PMC6717761","pubmed","31216108","create date:2019/06/20 | first author:Buscail E",
"Identification of a novel PRR15L-RSPO2 fusion transcript in a sigmoid colon cancer derived from superficially serrated adenoma.","/pubmed/31209633","Mizuguchi Y, Sakamoto T, Hashimoto T, Tsukamoto S, Iwasa S, Saito Y, Sekine S.","Virchows Arch. 2019 Nov;475(5):659-663. doi: 10.1007/s00428-019-02604-x. Epub 2019 Jun 17.","Virchows Arch.  2019","PubMed","citation","PMID:31209633","pubmed","31209633","create date:2019/06/19 | first author:Mizuguchi Y",
"Association between Primary Tumor Location and Prognostic Survival in Synchronous Colorectal Liver Metastases after Surgical Treatment: A Retrospective Analysis of SEER Data.","/pubmed/31205514","Wang Z, Wang X, Zhang Z, Wang X, Chen M, Lu L, Zhu W, Zhang J, Jia H, Chen J.","J Cancer. 2019 Feb 26;10(7):1593-1600. doi: 10.7150/jca.29294. eCollection 2019.","J Cancer.  2019","PubMed","citation","PMID:31205514 | PMCID:PMC6547995","pubmed","31205514","create date:2019/06/18 | first author:Wang Z",
