Title,Description,ShortDetails,Identifiers,EntrezUID
"Association of high ligation versus low ligation of the inferior mesenteric artery on anastomotic leak, postoperative complications, and mortality after minimally invasive surgery for distal sigmoid and rectal cancer.","Draginov A, Chesney TR, Quereshy HA, Chadi SA, Quereshy FA.",Surg Endosc.  2019,PMID:31641914,31641914
The Predictive Role of Primary Tumour Sidedness in Metastatic Colorectal Cancer Treated With Targeted Agents.,"Fiala O, Ostasov P, Hosek P, Sorejs O, Liska V, Buchler T, Poprach A, Kucera R, Topolcan O, Sustr J, Sedivcova M, Finek J.",Anticancer Res.  2019,PMID:31570462,31570462
The Significance of Sidedness in Patients with Metastatic Colorectal Cancer Treated with Triplet First-line Chemotherapy.,"Bazarbashi S, Omar AT, Raddaoui L, Badran A, Alzahrani A, Aljubran A, Elhassan T.",Asian Pac J Cancer Prev.  2019,PMID:31653131,31653131
Prognostic and predictive significance of microsatellite instability in stage II colorectal carcinoma: An 8-year study from a tertiary center in South India.,"Paulose RR, Ail DA, Biradar S, Vasudevan A, Sundaram KR.",Indian J Cancer.  2019,PMID:31607697,31607697
Safe adoption of robotic colorectal surgery using structured training: early Irish experience.,"Aradaib M, Neary P, Hafeez A, Kalbassi R, Parvaiz A, O'Riordain D.",J Robot Surg.  2019,PMID:30536134,30536134
"Combination chemotherapy with TAS-102 plus bevacizumab in salvage-line treatment of metastatic colorectal cancer: A single-center, retrospective study examining the prognostic value of the modified Glasgow Prognostic Score in salvage-line therapy of metastatic colorectal cancer.","Matsuhashi N, Takahashi T, Fujii H, Suetsugu T, Fukada M, Iwata Y, Tokumaru Y, Imai T, Mori R, Tanahashi T, Matsui S, Imai H, Tanaka Y, Yamaguchi K, Futamura M, Yoshida K.",Mol Clin Oncol.  2019,PMID:31475067 | PMCID:PMC6713946,31475067
The calcium-sensing receptor: A novel target for treatment and prophylaxis of neratinib-induced diarrhea.,"Lysyy T, Lalani AS, Olek EA, Diala I, Geibel JP.",Pharmacol Res Perspect.  2019,PMID:31523434 | PMCID:PMC6743423,31523434
Distribution of lymph node metastasis and the extent of lymph node dissection in descending colon cancer patients.,"Lee SY, Yeom SS, Kim CH, Kim YJ, Kim HR.",ANZ J Surg.  2019,PMID:31452333,31452333
Impact of Primary Tumour Location and Early Tumour Shrinkage on Outcomes in Patients with RAS Wild-Type Metastatic Colorectal Cancer Following First-Line FOLFIRI Plus Panitumumab.,"Köhne CH, Karthaus M, Mineur L, Thaler J, Van den Eynde M, Gallego J, Koukakis R, Berkhout M, Hofheinz RD.",Drugs R D.  2019,PMID:31300973 | PMCID:PMC6738356,31300973
Primary Tumor Sidedness Predicts Bevacizumab Benefit in Metastatic Colorectal Cancer Patients.,"You XH, Wen C, Xia ZJ, Sun F, Li Y, Wang W, Fang Z, Chen QG, Zhang L, Jiang YH, Wang XZ, Ying HQ, Zong Z.",Front Oncol.  2019,PMID:31475100 | PMCID:PMC6702298,31475100
The Prognostic Impact of Primary Tumor Site Differs According to the KRAS Mutational Status: A Study By the International Genetic Consortium for Colorectal Liver Metastasis.,"Margonis GA, Amini N, Buettner S, Kim Y, Wang J, Andreatos N, Wagner D, Sasaki K, Beer A, Kamphues C, Morioka D, Løes IM, Imai K, He J, Pawlik TM, Kaczirek K, Poultsides G, Lønning PE, Burkhart R, Endo I, Baba H, Mischinger HJ, et al.",Ann Surg.  2019,PMID:31389831,31389831
Sidedness Matters: Surrogate Biomarkers Prognosticate Colorectal Cancer upon Anatomic Location.,"Ben-Aharon I, Goshen-Lago T, Sternschuss M, Morgenstern S, Geva R, Beny A, Dror Y, Steiner M, Hubert A, Idelevich E, Shulman K, Mishaeli M, Man S, Liebermann N, Soussan-Gutman L, Brenner B.",Oncologist.  2019,PMID:30755502 | PMCID:PMC6693694,30755502
Treatment of splenic flexure colon cancer: a comparison of three different surgical procedures: Experience of a high volume cancer center.,"Rega D, Pace U, Scala D, Chiodini P, Granata V, Fares Bucci A, Pecori B, Delrio P.",Sci Rep.  2019,PMID:31358904 | PMCID:PMC6662908,31358904
Circulating T cell subsets are associated with clinical outcome of anti-VEGF-based 1st-line treatment of metastatic colorectal cancer patients: a prospective study with focus on primary tumor sidedness.,"Bencsikova B, Budinska E, Selingerova I, Pilatova K, Fedorova L, Greplova K, Nenutil R, Valik D, Obermannova R, Sheard MA, Zdrazilova-Dubska L.",BMC Cancer.  2019,PMID:31307428 | PMCID:PMC6631500,31307428
Treatment patterns and survival differ between early-onset and late-onset colorectal cancer patients: the patient outcomes to advance learning network.,"Burnett-Hartman AN, Powers JD, Chubak J, Corley DA, Ghai NR, McMullen CK, Pawloski PA, Sterrett AT, Feigelson HS.",Cancer Causes Control.  2019,PMID:31102084,31102084
PD-L1 is a double-edged sword in colorectal cancer: the prognostic value of PD-L1 depends on the cell type expressing PD-L1.,"Ho HL, Chou TY, Yang SH, Jiang JK, Chen WS, Chao Y, Teng HW.",J Cancer Res Clin Oncol.  2019,PMID:31129768,31129768
Marked impact of tumor location on the appropriate cutoff values and the prognostic significance of the lymph node ratio in stage III colon cancer: a multi-institutional retrospective analysis.,"Shinto E, Ike H, Hida JI, Kobayashi H, Hashiguchi Y, Kajiwara Y, Hase K, Ueno H, Sugihara K.",J Gastroenterol.  2019,PMID:30607613,30607613
Simultaneous Colon and Liver Laparoscopic Resection for Colorectal Cancer with Synchronous Liver Metastases: A Single Center Experience.,"Bizzoca C, Delvecchio A, Fedele S, Vincenti L.",J Laparoendosc Adv Surg Tech A.  2019,PMID:30925103,30925103
Tumor sidedness is not an independent prognostic marker of colorectal cancer patients undergoing curative resection: A retrospective cohort study.,"Chan JCY, Diakos CI, Engel A, Chan DLH, Pavlakis N, Gill A, Clarke SJ.",PLoS One.  2019,PMID:31188892 | PMCID:PMC6561599,31188892
Impact of tumor sidedness on survival and recurrence patterns in colon cancer patients.,"Lee JM, Han YD, Cho MS, Hur H, Min BS, Lee KY, Kim NK.",Ann Surg Treat Res.  2019,PMID:31183334 | PMCID:PMC6543053,31183334
Right versus left sided metastatic colorectal cancer: Teasing out clinicopathologic drivers of disparity in survival.,"Mendis S, Beck S, Lee B, Lee M, Wong R, Kosmider S, Shapiro J, Yip D, Steel S, Nott L, Jennens R, Lipton L, Burge M, Field K, Ananda S, Wong HL, Gibbs P.",Asia Pac J Clin Oncol.  2019,PMID:30761750,30761750
Right or Left Primary Site of Colorectal Cancer: Outcomes From the Molecular Analysis of the AGITG MAX Trial.,"Tapia Rico G, Price T, Tebbutt N, Hardingham J, Lee C, Buizen L, Wilson K, Gebski V, Townsend A.",Clin Colorectal Cancer.  2019,PMID:30713134,30713134
Right-sided vs. left-sided obstructing colonic cancer: results of a multicenter study of the French Surgical Association in 2325 patients and literature review.,"Mege D, Manceau G, Beyer L, Bridoux V, Lakkis Z, Venara A, Voron T, de'Angelis N, Abdalla S, Sielezneff I, Karoui M; AFC (French Surgical Association) Working Group..",Int J Colorectal Dis.  2019,PMID:30941568,30941568
The side of the primary tumor affects overall survival in colon adenocarcinoma: an analysis of the national cancer database.,"Turner MC, Becerra D, Sun Z, Watson J, Leung K, Migaly J, Mantyh CR, Blazer DG.",Tech Coloproctol.  2019,PMID:31190234,31190234
"Primary tumour location affects survival after resection of colorectal liver metastases: A two-institutional cohort study with international validation, systematic meta-analysis and a clinical risk score.","Gasser E, Braunwarth E, Riedmann M, Cardini B, Fadinger N, Presl J, Klieser E, Ellmerer P, Dupré A, Imai K, Malik H, Baba H, Ulmer H, Schneeberger S, Öfner D, Dinnewitzer A, Stättner S, Primavesi F.",PLoS One.  2019,PMID:31150437 | PMCID:PMC6544347,31150437
Prognostic significance of primary tumor sidedness in patients undergoing liver resection for metastatic colorectal cancer.,"Elizabeth McCracken EK, Samsa GP, Fisher DA, Farrow NE, Landa K, Shah KN, Blazer DG 3rd, Zani S.",HPB (Oxford).  2019,PMID:31155452,31155452
"Technique and audited outcomes of laparoscopic distal pancreatectomy combining the clockwise approach, progressive stepwise compression technique, and staple line reinforcement.","Asbun HJ, Van Hilst J, Tsamalaidze L, Kawaguchi Y, Sanford D, Pereira L, Besselink MG, Stauffer JA.",Surg Endosc.  2019,PMID:31139993,31139993
Surgical Treatment of a Patient with a Solitary Thyroid Metastasis from Primary Sigmoid Adenocarcinoma: A Case Report and Literature Review.,"Yamahara K, Moriki T, Katsura Y, Lee K, Ikegami S.",Case Rep Otolaryngol.  2019,PMID:31263614 | PMCID:PMC6556265,31263614
Impact of Tumor Site on Lymph Node Status and Survival in Colon Cancer.,"Xie Y, Huang Y, Ruan Q, Wang H, Liang X, Hu Z, Li X.",J Cancer.  2019,PMID:31258741 | PMCID:PMC6584349,31258741
Does Primary Tumor Side Matter in Patients with Metastatic Colon Cancer Treated with Cytoreductive Surgery and Hyperthermic Intraperitoneal Chemotherapy?,"Kelly KJ, Alsayadnasser M, Vaida F, Veerapong J, Baumgartner JM, Patel S, Ahmad S, Barone R, Lowy AM.",Ann Surg Oncol.  2019,PMID:30815802,30815802
Oncologic Effects of Primary Tumor-Sidedness on Patients with Stages 1-3 Colon Cancer: A Meta-Analysis.,"Ha GW, Kim JH, Lee MR.",Ann Surg Oncol.  2019,PMID:30805809,30805809
Prognostic Value of Primary Tumor Sidedness for Unresectable Stage IV Colorectal Cancer: A Retrospective Study.,"Shida D, Tanabe T, Boku N, Takashima A, Yoshida T, Tsukamoto S, Kanemitsu Y.",Ann Surg Oncol.  2019,PMID:30719633,30719633
"Total or Subtotal Colectomy with Primary Anastomosis for Occlusive Left Colon Cancer: A Safe, Acceptable and Applicable Procedure.","Nehmeh WA, Gabriel M, Tarhini A, Chaktoura G, Sarkis R, Abboud B, Noun R, Tohmé C.",Gulf J Oncolog.  2019,PMID:31242983,31242983
Construction of ceRNA networks reveals differences between distal and proximal colon cancers.,"Qian W, Feng Y, Li J, Peng W, Gu Q, Zhang Z, Ji D, Wang Q, Zhang D, Sun Y.",Oncol Rep.  2019,PMID:30896838,30896838
"The INTERACT Trial: Long-term results of a randomised trial on preoperative capecitabine-based radiochemotherapy intensified by concomitant boost or oxaliplatin, for cT2 (distal)-cT3 rectal cancer.","Valentini V, Gambacorta MA, Cellini F, Aristei C, Coco C, Barbaro B, Alfieri S, D'Ugo D, Persiani R, Deodato F, Crucitti A, Lupattelli M, Mantello G, Navarria F, Belluco C, Buonadonna A, Boso C, Lonardi S, Caravatta L, Barba MC, Vecchio FM, Maranzano E, et al.",Radiother Oncol.  2019,PMID:31005204,31005204
Severe rhabdomyolysis related to oxaliplatin adjuvant therapy for colorectal cancer.,"Pissarra A, Malheiro M, Matos LV, Plácido AN.",BMJ Case Rep.  2019,PMID:30996068,30996068
Lymph node yield and tumour subsite are associated with survival in stage I-III colon cancer: results from a national cohort study.,"Lykke J, Rosenberg J, Jess P, Roikjaer O; Danish Colorectal Cancer Group..",World J Surg Oncol.  2019,PMID:30940175 | PMCID:PMC6446268,30940175
Meta-analysis of oncological outcomes of sigmoid cancers: A hidden epidemic of R1 "palliative" resections.,"D'Souza N, Lord A, Shaw A, Abulafi M, Kontovounisios C, Sjövall A, Tekkis P, Brown G.",Eur J Surg Oncol.  2019,PMID:30420188,30420188
Non-anatomical colonic resections: splenic flexure and transverse colectomy. Central vascular ligation is crucial for survival.,"Reddavid R, Esposito L, Evangelista A, Sofia S, Degiuli M.",Minerva Chir.  2019,PMID:30037179,30037179
Small bowel perforation with multiple intestinal metastases from lung carcinoma: A case report.,"Misiakos EP, Gouloumi AR, Schizas D, Damaskou V, Tsapralis D, Farrugia FA, Machairas N, Papaconstantinou D, Tzaneti A, Machairas A.",Oncol Lett.  2019,PMID:30881505 | PMCID:PMC6403519,30881505
A randomized clinical trial comparing the initial vascular approach to the inferior mesenteric vein versus the inferior mesenteric artery in laparoscopic surgery of rectal cancer and sigmoid colon cancer.,"Planellas P, Salvador H, Farrés R, Gómez N, Julià D, Gil J, Pujadas M, Marinello F, Cornejo L, Codina A.",Surg Endosc.  2019,PMID:30377755,30377755
Virchow's node: a case report of an extremely rare presentation of metastasis of adenocarcinoma with mucinous features from the colon.,"Suliman MS, Singh M, Ajmeri AN, Stuart DL, Teka ST.",Int J Gen Med.  2019,PMID:31114290 | PMCID:PMC6497486,31114290
Elevated FPR confers to radiochemoresistance and predicts clinical efficacy and outcome of metastatic colorectal cancer patients.,"Chen QG, Zhang L, Sun F, Li SQ, You XH, Jiang YH, Yang WM, Zhong QH, Wang XZ, Ying HQ.",Aging (Albany NY).  2019,PMID:30897064 | PMCID:PMC6461181,30897064
Impact of laterality and mucinous histology on relapse-free and overall survival in a registry-based colon cancer series.,"Negri F, De Giorgi A, Gilli A, Azzoni C, Bottarelli L, Gnetti L, Goldoni M, Manotti L, Sgargi P, Michiara M, Leonardi F, Rindi G, Cascinu S, Silini EM.",Sci Rep.  2019,PMID:30842570 | PMCID:PMC6403425,30842570
The Impact of Primary Tumor Sidedness on the Effect of Regorafenib in Refractory Metastatic Colorectal Cancer.,"Yoon SE, Lee SJ, Lee J, Park SH, Park JO, Lim HY, Kang WK, Park YS, Kim ST.",J Cancer.  2019,PMID:31205516 | PMCID:PMC6548008,31205516
Time of Metastasis and Outcome in Colorectal Cancer.,"Rahbari NN, Carr PR, Jansen L, Chang-Claude J, Weitz J, Hoffmeister M, Brenner H.",Ann Surg.  2019,PMID:29064893,29064893
Randomized clinical trial of selective decontamination of the digestive tract in elective colorectal cancer surgery (SELECT trial).,"Abis GSA, Stockmann HBAC, Bonjer HJ, van Veenendaal N, van Doorn-Schepens MLM, Budding AE, Wilschut JA, van Egmond M, Oosterling SJ; SELECT trial study group..",Br J Surg.  2019,PMID:30802304,30802304
Prognostic Effect of Tumor Sidedness in Colorectal Cancer: A SEER-Based Analysis.,"Li Y, Feng Y, Dai W, Li Q, Cai S, Peng J.",Clin Colorectal Cancer.  2019,PMID:30448100,30448100
Clinicopathological and molecular differences in colorectal cancer according to location.,"Hsu YL, Lin CC, Jiang JK, Lin HH, Lan YT, Wang HS, Yang SH, Chen WS, Lin TC, Lin JK, Lin PC, Chang SC.",Int J Biol Markers.  2019,PMID:30854932,30854932
Totally robotic modified complete mesocolic excision and central vascular ligation for right-sided colon cancer: technical feasibility and mid-term oncologic outcomes.,"Bae SU, Yang SY, Min BS.",Int J Colorectal Dis.  2019,PMID:30560354,30560354
Concomitant occurrence of primary renal non-Hodgkin lymphoma and a colon cancer: A rare case report.,"Li J, Zou Y, Wang B, Meng X, Sun X.",Medicine (Baltimore).  2019,PMID:30855498 | PMCID:PMC6417636,30855498
Oncologic Outcomes in Metastatic Colorectal Cancer with Regorafenib with FOLFIRI as a Third- or Fourth-Line Setting.,"Ma CJ, Huang CW, Chang TK, Tsai HL, Su WC, Yeh YS, Chen PJ, Wang JY.",Transl Oncol.  2019,PMID:30594039 | PMCID:PMC6307535,30594039
[Prognostic analysis of colon and rectal neuroendocrine neoplasm in different stages].,"Huang YT, Jia R, Xu Q, Ji SJ, Cui HT, Xu JM.",Zhonghua Zhong Liu Za Zhi.  2019,PMID:30862146,30862146
"Colon Cancer Sidedness, Presentation, and Survival at Different Stages.","Ulanja MB, Rishi M, Beutler BD, Sharma M, Patterson DR, Gullapalli N, Ambika S.",J Oncol.  2019,PMID:30915121 | PMCID:PMC6409047,30915121
Impact of Tumor Location and Variables Associated With Overall Survival in Patients With Colorectal Cancer: A Mayo Clinic Colon and Rectal Cancer Registry Study.,"Wang CB, Shahjehan F, Merchea A, Li Z, Bekaii-Saab TS, Grothey A, Colibaseanu DT, Kasi PM.",Front Oncol.  2019,PMID:30838175 | PMCID:PMC6389639,30838175
Lactate-Mediated Acidification of Tumor Microenvironment Induces Apoptosis of Liver-Resident NK Cells in Colorectal Liver Metastasis.,"Harmon C, Robinson MW, Hand F, Almuaili D, Mentor K, Houlihan DD, Hoti E, Lynch L, Geoghegan J, O'Farrelly C.",Cancer Immunol Res.  2019,PMID:30563827,30563827
Sex- and site-specific differences in colorectal cancer risk among people with type 2 diabetes.,"Overbeek JA, Kuiper JG, van der Heijden AAWA, Labots M, Haug U, Herings RMC, Nijpels G.",Int J Colorectal Dis.  2019,PMID:30421309 | PMCID:PMC6331739,30421309
Colon cancer laterality is associated with atherosclerosis and coronary artery disease.,"Wang SC, Schulman-Marcus J, Fantauzzi J, Bevington T, Sayegh A, Lee E, Ata A, Kambam M, Sidhu M, Lyubarova R.",J Gastrointest Oncol.  2019,PMID:30788156 | PMCID:PMC6351310,30788156
Laparoscopic Complete Mesocolic Excision for Right-Sided Colon Cancer: Analysis of Feasibility and Safety from a Single Western Center.,"Pedrazzani C, Lazzarini E, Turri G, Fernandes E, Conti C, Tombolan V, Nifosì F, Guglielmi A.",J Gastrointest Surg.  2019,PMID:30430433,30430433
Another Chapter of the Right Versus Left Story: Is Primary Tumor Location a Prognostic Feature in RAS Mutant Metastatic Colorectal Cancer?,"Loupakis F, Schirripa M, Intini R, Bergamo F, Bertorelle R, Fassan M, Dadduzio V, Merigliano S, Pilati P, Urso ELD, Cillo U, Rugge M, Lonardi S, Zagonel V.",Oncologist.  2019,PMID:30120156 | PMCID:PMC6369947,30120156
EGFR Protein Expression of KRAS Wild-Type Colorectal Cancer: Predictive Value of the Sidedness for Efficacy of Anti-EGFR Therapy.,"Uhlyarik A, Piurko V, Vizkeleti L, Pápai Z, Rásó E, Lahm E, Kiss E, Sikter M, Vachaja J, Kenessey I, Tímár J.",Pathol Oncol Res.  2019,PMID:30612313,30612313
Obstructing left sided colorectal cancer. A retrospective single Center study.,"Danzi M, Grimaldi L, De Capua M, Tammaro N, Danzi R, Sivero L.",Ann Ital Chir.  2019,PMID:30569909,30569909
Outcomes of Elderly Patients Undergoing Emergency Surgery for Complicated Colorectal Cancer: A Retrospective Cohort Study.,"Menegozzo CAM, Teixeira-Júnior F, Couto-Netto SDD, Martins-Júnior O, Bernini CO, Utiyama EM.",Clinics (Sao Paulo).  2019,PMID:31433041 | PMCID:PMC6691836,31433041
Appraisal of Prognostic Interaction between Sidedness and Mucinous Histology in Colon Cancer: A Population-Based Study Using Inverse Probability Propensity Score Weighting.,"Wang ZX, Yang LP, Wu HX, Yang DD, Ding PR, Xie D, Chen G, Li YH, Wang F, Xu RH.",J Cancer.  2019,PMID:30719132 | PMCID:PMC6360297,30719132
Colon cancer with perforation.,"Otani K, Kawai K, Hata K, Tanaka T, Nishikawa T, Sasaki K, Kaneko M, Murono K, Emoto S, Nozawa H.",Surg Today.  2019,PMID:29691659,29691659
Establishment of inflammation biomarkers-based nomograms to predict prognosis of advanced colorectal cancer patients based on real world data.,"Guo G, Chen X, He W, Wang H, Wang Y, Hu P, Rong Y, Fan L, Xia L.",PLoS One.  2018,PMID:30513126 | PMCID:PMC6279229,30513126
Female Sex and Right-Sided Tumor Location Are Poor Prognostic Factors for Patients With Stage III Colon Cancer After a Curative Resection.,"Park JH, Park HC, Park SC, Oh JH, Kim DW, Kang SB, Heo SC, Kim MJ, Park JW, Jeong SY, Park KJ.",Ann Coloproctol.  2018,PMID:30630302 | PMCID:PMC6347333,30630302
Impact of primary tumour location on efficacy of bevacizumab plus chemotherapy in metastatic colorectal cancer.,"Loupakis F, Hurwitz HI, Saltz L, Arnold D, Grothey A, Nguyen QL, Osborne S, Talbot J, Srock S, Lenz HJ.",Br J Cancer.  2018,PMID:30487637 | PMCID:PMC6288128,30487637
CDK8 Selectively Promotes the Growth of Colon Cancer Metastases in the Liver by Regulating Gene Expression of TIMP3 and Matrix Metalloproteinases.,"Liang J, Chen M, Hughes D, Chumanevich AA, Altilia S, Kaza V, Lim CU, Kiaris H, Mythreye K, Pena MM, Broude EV, Roninson IB.",Cancer Res.  2018,PMID:30185549 | PMCID:PMC6279600,30185549
"Cetuximab Alone or With Irinotecan for Resistant KRAS-, NRAS-, BRAF- and PIK3CA-wild-type Metastatic Colorectal Cancer: The AGITG Randomized Phase II ICECREAM Study.","Shapiro JD, Thavaneswaran S, Underhill CR, Robledo KP, Karapetis CS, Day FL, Nott LM, Jefford M, Chantrill LA, Pavlakis N, Tebbutt NC, Price TJ, Khasraw M, Van Hazel GA, Waring PM, Tejpar S, Simes J, Gebski VJ, Desai J, Segelov E.",Clin Colorectal Cancer.  2018,PMID:30463680,30463680
"Impact of the Localization of the Primary Tumor and RAS/BRAF Mutational Status on Maintenance Strategies After First-line Oxaliplatin, Fluoropyrimidine, and Bevacizumab in Metastatic Colorectal Cancer: Results From the AIO 0207 Trial.","Noepel-Duennebacke S, Arnold D, Hertel J, Tannapfel A, Hinke A, Hegewisch-Becker S, Reinacher-Schick A.",Clin Colorectal Cancer.  2018,PMID:30145148,30145148
Association of Clinicopathologic and Molecular Markers on Stage-specific Survival of Right Versus Left Colon Cancer.,"Narayanan S, Gabriel E, Attwood K, Boland P, Nurkin S.",Clin Colorectal Cancer.  2018,PMID:30108021,30108021
[Does the Sidedness of Perforative Colorectal Cancer Influence the Prognosis of Patients ?],"Hatano S, Muta Y, Ito T, Chikatani K, Chika N, Yamamoto A, Suzuki O, Muramatsu S, Amano K, Ishiguro T, Kumagai Y, Ishibashi K, Mochiki E, Ishida H.",Gan To Kagaku Ryoho.  2018,PMID:30692452,30692452
Mortality From Postscreening (Interval) Colorectal Cancers Is Comparable to That From Cancer in Unscreened Patients-A Randomized Sigmoidoscopy Trial.,"Jodal HC, Løberg M, Holme Ø, Adami HO, Bretthauer M, Emilsson L, Ransohoff DF, Hoff G, Kalager M.",Gastroenterology.  2018,PMID:30165051,30165051
Metastatic Bulk Independently Predicts Outcomes for EGFR Precision Targeting in Colorectal Cancer.,"Kratz JD, Uboha NV, Lubner SJ, Mulkerin DL, Clipson L, Yi Y, Yu M, Matkowskyj KA, LoConte NK, Deming DA.",J Natl Compr Canc Netw.  2018,PMID:30545991,30545991
Primary tumor location in stage III colon cancer has prognostic impact on subsequent liver metastasis.,"Liao CK, Chiang JM, Tsai WS, You JF, Hsieh PS, Hung HY, Chen HH, Tang RP, Chen JS, Yeh CY.",J Surg Oncol.  2018,PMID:30408183,30408183
Tumor Sidedness and Enriched Gene Groups for Efficacy of First-line Cetuximab Treatment in Metastatic Colorectal Cancer.,"Sunakawa Y, Mogushi K, Lenz HJ, Zhang W, Tsuji A, Takahashi T, Denda T, Shimada K, Kochi M, Nakamura M, Kotaka M, Segawa Y, Tanioka H, Negoro Y, Moran M, Astrow SH, Hsiang J, Stephens C, Fujii M, Ichikawa W.",Mol Cancer Ther.  2018,PMID:30275242,30275242
Necrotizing fasciitis of the thigh due to penetrated descending colon cancer: a case report.,"Sato K, Yamamura H, Sakamoto Y, Morohashi H, Miura T, Yoshikawa T, Suto A, Tsuruta S, Hakamada K.",Surg Case Rep.  2018,PMID:30478748 | PMCID:PMC6261093,30478748
[Prognostic factors of patients with unresectable liver metastasis from colorectal cancer after failed conversion chemotherapy].,"He H, Shen W, Chen W, Liu H, Gong W, Fu J, Hu X, Cui L.",Zhonghua Wei Chang Wai Ke Za Zhi.  2018,PMID:30506537,30506537
Prognostic significance of primary tumor localization in stage II and III colon cancer.,"Sakin A, Arici S, Secmeler S, Can O, Geredeli C, Yasar N, Demir C, Demir OG, Cihan S.",World J Gastrointest Oncol.  2018,PMID:30487952 | PMCID:PMC6247106,30487952
The Oncologic Outcomes of Inferior Mesenteric Artery-Preserving Laparoscopic Lymph Node Dissection for Upper-Rectal or Sigmoid Colon Cancer.,"Maeda Y, Shinohara T, Futakawa N, Minagawa N, Sunahara M, Koyama R, Nagatsu A, Hamada T.",J Laparoendosc Adv Surg Tech A.  2018,PMID:30192168,30192168
Advanced colorectal carcinoma with testicular metastasis in an adolescent: a case report.,"Pratap Singh A, Kumar A, Dhar A, Agarwal S, Bhimaniya S.",J Med Case Rep.  2018,PMID:30305152 | PMCID:PMC6180440,30305152
"ALDH1A1 expression is associated with poor differentiation, 'right-sidedness' and poor survival in human colorectal cancer.","van der Waals LM, Borel Rinkes IHM, Kranenburg O.",PLoS One.  2018,PMID:30308036 | PMCID:PMC6181398,30308036
Minimally invasive surgery for colorectal cancer remains underutilized in Germany despite its nationwide application over the last decade.,"Ghadban T, Reeh M, Bockhorn M, Heumann A, Grotelueschen R, Bachmann K, Izbicki JR, Perez DR.",Sci Rep.  2018,PMID:30310116 | PMCID:PMC6181957,30310116
The ALCCaS Trial: A Randomized Controlled Trial Comparing Quality of Life Following Laparoscopic Versus Open Colectomy for Colon Cancer.,"McCombie AM, Frizelle F, Bagshaw PF, Frampton CM, Hewett PJ, McMurrick PJ, Rieger N, Solomon MJ, Stevenson AR; ALCCaS Trial group..",Dis Colon Rectum.  2018,PMID:30192324,30192324
